NodeId,Epoch,Type,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
N0,1,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,644.525416,677.260149,694.654315,722.518757,730.864817,753.559025,776.165715,806.794404
N1,1,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
N2,1,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
N3,1,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
N4,1,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
N5,1,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,465.338695,469.318595,490.031376,494.00146,505.150565,512.316581,528.227313,535.380603
N6,1,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
N7,1,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
N8,1,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
N9,1,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
N0,2,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,2,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,2,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,2,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,2,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,2,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,2,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,2,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,2,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,2,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,3,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,3,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,3,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,3,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,3,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,3,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,3,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,3,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,3,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,3,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,4,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,4,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,4,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,4,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,4,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,4,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,4,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,4,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,4,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,4,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,5,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,5,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,5,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,5,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,5,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,5,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,5,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,5,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,5,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,5,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,6,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,6,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,6,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,6,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,6,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,6,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,6,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,6,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,6,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,6,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,7,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,7,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,7,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,7,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,8,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,8,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,8,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,8,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,9,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,9,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,9,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,9,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,10,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,10,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,10,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,10,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
